index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
2;false;false;0;0;3;0;0;0;183000;0;11146;
14;true;true;1;1;14;0;0;3546;183000;0;7600;
26;false;false;1;6;21;0;0;6366;182059;941;4780;
38;false;true;1;6;33;0;0;5568;182501;499;5578;
50;false;false;1;6;45;0;0;5568;182501;499;5578;
62;false;true;1;6;57;0;0;6366;182059;941;4780;
74;false;false;1;8;67;0;0;6366;182059;941;4780;
86;false;false;1;12;75;0;0;6366;182059;941;4780;
98;false;false;1;12;87;0;0;6366;182059;941;4780;
110;false;false;1;12;99;0;0;6366;182059;941;4780;
122;false;false;1;12;111;0;0;6366;182059;941;4780;
134;false;false;1;12;123;0;0;6366;182059;941;4780;
146;false;false;1;12;135;0;0;6366;182059;941;4780;
158;false;false;1;12;147;0;0;6366;182059;941;4780;
170;false;false;1;14;157;0;0;6366;182059;941;4780;
182;false;false;1;14;169;0;0;6366;182059;941;4780;
194;false;false;2;16;179;0;0;6478;181161;1839;4668;
206;false;false;2;16;191;0;0;6478;181161;1839;4668;
218;false;false;2;16;203;0;0;6478;181161;1839;4668;
230;false;false;2;16;215;0;0;6478;181161;1839;4668;
242;false;true;3;16;227;0;0;5815;181599;1401;5331;
254;false;true;6;16;239;0;0;5178;180792;2208;5968;
266;false;false;6;16;251;0;0;5178;180792;2208;5968;
278;false;false;6;16;263;0;0;5178;180792;2208;5968;
290;false;false;6;16;275;0;0;5178;180792;2208;5968;
6;false;false;0;0;7;0;0;0;183000;0;11146;
0;false;false;0;0;1;0;0;0;183000;0;11146;
1;false;false;0;0;2;0;0;0;183000;0;11146;
12;false;false;0;0;13;0;0;0;183000;0;11146;
302;false;true;6;16;287;0;0;5146;180436;2564;6000;
13;false;false;0;0;14;0;0;0;183000;0;11146;
4;false;false;0;0;5;0;0;0;183000;0;11146;
8;false;false;0;0;9;0;0;0;183000;0;11146;
18;false;false;1;2;17;0;0;6366;182059;941;4780;
24;false;false;1;6;19;0;0;6366;182059;941;4780;
25;false;false;1;6;20;0;0;6366;182059;941;4780;
5;false;false;0;0;6;0;0;0;183000;0;11146;
10;false;false;0;0;11;0;0;0;183000;0;11146;
16;false;false;1;2;15;0;0;6366;182059;941;4780;
20;false;false;1;3;18;0;0;6366;182059;941;4780;
30;false;false;1;6;25;0;0;6366;182059;941;4780;
36;false;false;1;6;31;0;0;6366;182059;941;4780;
314;false;false;6;16;299;0;0;5146;180436;2564;6000;
37;false;false;1;6;32;0;0;6366;182059;941;4780;
32;false;false;1;6;27;0;0;6366;182059;941;4780;
42;false;false;1;6;37;0;0;5568;182501;499;5578;
17;false;false;1;2;16;0;0;6366;182059;941;4780;
22;false;false;1;5;18;0;0;6366;182059;941;4780;
48;false;false;1;6;43;0;0;5568;182501;499;5578;
28;false;false;1;6;23;0;0;6366;182059;941;4780;
49;false;false;1;6;44;0;0;5568;182501;499;5578;
44;false;false;1;6;39;0;0;5568;182501;499;5578;
54;false;false;1;6;49;0;0;5568;182501;499;5578;
34;false;false;1;6;29;0;0;6366;182059;941;4780;
326;true;true;7;17;310;0;0;5580;179889;3111;5566;
29;false;false;1;6;24;0;0;6366;182059;941;4780;
60;false;false;1;6;55;0;0;5568;182501;499;5578;
40;false;false;1;6;35;0;0;5568;182501;499;5578;
56;false;false;1;6;51;0;0;5568;182501;499;5578;
61;false;false;1;6;56;0;0;5568;182501;499;5578;
66;false;false;1;8;59;0;0;6366;182059;941;4780;
41;false;false;1;6;36;0;0;5568;182501;499;5578;
46;false;false;1;6;41;0;0;5568;182501;499;5578;
52;false;false;1;6;47;0;0;5568;182501;499;5578;
72;false;false;1;8;65;0;0;6366;182059;941;4780;
73;false;false;1;8;66;0;0;6366;182059;941;4780;
68;false;false;1;8;61;0;0;6366;182059;941;4780;
78;false;false;1;9;70;0;0;6366;182059;941;4780;
58;false;false;1;6;53;0;0;5568;182501;499;5578;
338;false;false;6;18;319;2;0;5922;181293;1707;5224;
53;false;false;1;6;48;0;0;5568;182501;499;5578;
64;false;true;1;7;58;0;0;5568;182501;499;5578;
65;true;true;1;8;58;0;0;6366;182059;941;4780;
76;false;false;1;8;69;0;0;6366;182059;941;4780;
70;false;false;1;8;63;0;0;6366;182059;941;4780;
90;false;false;1;12;79;0;0;6366;182059;941;4780;
80;false;false;1;10;71;0;0;6366;182059;941;4780;
84;false;false;1;12;73;0;0;6366;182059;941;4780;
85;false;false;1;12;74;0;0;6366;182059;941;4780;
350;false;false;6;18;331;2;0;5922;181293;1707;5224;
77;false;false;1;8;70;0;0;6366;182059;941;4780;
102;false;false;1;12;91;0;0;6366;182059;941;4780;
82;false;false;1;11;72;0;0;6366;182059;941;4780;
92;false;false;1;12;81;0;0;6366;182059;941;4780;
97;false;false;1;12;86;0;0;6366;182059;941;4780;
96;false;false;1;12;85;0;0;6366;182059;941;4780;
88;false;false;1;12;77;0;0;6366;182059;941;4780;
