index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
7;false;false;0;8;0;0;0;185930;0;0;14070;
5;false;false;0;6;0;0;0;185930;0;0;14070;
8;false;false;0;9;0;0;0;185930;0;0;14070;
6;false;false;0;7;0;0;0;185930;0;0;14070;
2;false;false;0;3;0;0;0;185930;0;0;14070;
9;false;false;0;10;0;0;0;185930;0;0;14070;
1;false;false;0;2;0;0;0;185930;0;0;14070;
0;false;false;0;1;0;0;0;185930;0;0;14070;
4;false;false;0;5;0;0;0;185930;0;0;14070;
3;false;false;0;4;0;0;0;185930;0;0;14070;
10;false;false;0;11;0;0;0;185930;0;0;14070;
11;false;false;0;12;0;0;0;185930;0;0;14070;
13;false;false;0;14;0;0;0;185930;0;0;14070;
12;false;false;0;13;0;0;0;185930;0;0;14070;
15;false;true;1;14;2;0;0;185626;309;304;13761;
16;false;false;1;15;2;0;0;185626;309;304;13761;
18;false;false;1;17;2;0;0;185626;309;304;13761;
20;true;true;2;18;3;0;0;185254;533;676;13537;
17;false;false;1;16;2;0;0;185626;309;304;13761;
22;false;true;2;18;5;0;0;184488;1353;1442;12717;
19;false;false;1;18;2;0;0;185626;309;304;13761;
23;false;false;2;18;6;0;0;184488;1353;1442;12717;
14;true;true;1;14;1;0;0;185626;309;304;13761;
21;false;true;2;18;4;0;0;184488;1353;1442;12717;
24;false;true;3;19;6;0;0;184960;838;970;13232;
25;false;false;3;20;6;0;0;184960;838;970;13232;
27;false;false;3;22;6;0;0;184960;838;970;13232;
32;false;false;3;27;6;0;0;184960;838;970;13232;
28;false;false;3;23;6;0;0;184960;838;970;13232;
29;false;false;3;24;6;0;0;184960;838;970;13232;
31;false;false;3;26;6;0;0;184960;838;970;13232;
34;true;true;4;28;7;0;0;184549;1024;1381;13046;
30;false;false;3;25;6;0;0;184960;838;970;13232;
35;false;true;4;28;8;0;0;183661;1158;2269;12912;
26;false;false;3;21;6;0;0;184960;838;970;13232;
33;false;false;3;28;6;0;0;184960;838;970;13232;
36;false;false;4;29;8;0;0;183661;1158;2269;12912;
37;false;false;4;30;8;0;0;183661;1158;2269;12912;
40;false;true;4;33;8;0;0;184549;1024;1381;13046;
39;false;false;4;32;8;0;0;183661;1158;2269;12912;
44;false;false;4;37;8;0;0;184549;1024;1381;13046;
43;false;false;4;36;8;0;0;184549;1024;1381;13046;
41;false;false;4;34;8;0;0;184549;1024;1381;13046;
46;false;false;4;39;8;0;0;184549;1024;1381;13046;
42;false;false;4;35;8;0;0;184549;1024;1381;13046;
47;false;false;4;40;8;0;0;184549;1024;1381;13046;
38;false;false;4;31;8;0;0;183661;1158;2269;12912;
45;false;false;4;38;8;0;0;184549;1024;1381;13046;
48;false;false;4;41;8;0;0;184549;1024;1381;13046;
51;false;false;4;44;8;0;0;184549;1024;1381;13046;
56;false;false;5;47;10;0;0;184173;1254;1757;12816;
52;true;true;5;44;9;0;0;184173;1254;1757;12816;
49;false;false;4;42;8;0;0;184549;1024;1381;13046;
55;false;false;5;46;10;0;0;184173;1254;1757;12816;
58;false;false;5;49;10;0;0;184173;1254;1757;12816;
54;false;false;5;45;10;0;0;184173;1254;1757;12816;
53;false;false;5;44;10;0;0;184173;1254;1757;12816;
59;false;false;5;50;10;0;0;184173;1254;1757;12816;
50;false;false;4;43;8;0;0;184549;1024;1381;13046;
57;false;false;5;48;10;0;0;184173;1254;1757;12816;
60;false;false;5;51;10;0;0;184173;1254;1757;12816;
61;false;false;5;52;10;0;0;184173;1254;1757;12816;
63;false;false;5;54;10;0;0;184173;1254;1757;12816;
67;false;true;6;56;12;0;0;183193;1939;2737;12131;
68;false;false;6;57;12;0;0;183193;1939;2737;12131;
70;false;false;6;59;12;0;0;183193;1939;2737;12131;
66;true;true;6;56;11;0;0;183775;1444;2155;12626;
64;false;false;5;55;10;0;0;184173;1254;1757;12816;
65;false;false;5;56;10;0;0;184173;1254;1757;12816;
71;false;false;6;60;12;0;0;183193;1939;2737;12131;
62;false;false;5;53;10;0;0;184173;1254;1757;12816;
69;false;false;6;58;12;0;0;183193;1939;2737;12131;
72;false;true;6;61;12;0;0;183775;1444;2155;12626;
73;false;false;6;62;12;0;0;183775;1444;2155;12626;
75;false;false;6;64;12;0;0;183775;1444;2155;12626;
79;false;false;6;68;12;0;0;183775;1444;2155;12626;
82;false;false;7;69;14;0;0;182803;2057;3127;12013;
80;true;true;7;68;13;0;0;183333;1602;2597;12468;
76;false;false;6;65;12;0;0;183775;1444;2155;12626;
78;false;false;6;67;12;0;0;183775;1444;2155;12626;
77;false;false;6;66;12;0;0;183775;1444;2155;12626;
83;false;false;7;70;14;0;0;182803;2057;3127;12013;
74;false;false;6;63;12;0;0;183775;1444;2155;12626;
81;false;true;7;68;14;0;0;182803;2057;3127;12013;
